,_id,ltable_id,rtable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Genre,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Genre,rtable_Released,label
20,20,468,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
21,21,468,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
22,22,474,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
23,23,474,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
24,24,480,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
25,25,480,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
26,26,488,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
27,27,488,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
28,28,510,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
29,29,510,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
30,30,530,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
31,31,530,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
32,32,544,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
33,33,544,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
34,34,545,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
35,35,545,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
36,36,555,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
37,37,555,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
38,38,465,31997,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,john michael montgomery,country,1996,-1
39,39,465,56597,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,cymande,jazz,1972,-1
40,40,465,76110,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,michael w. smith,rock,1993,-1
41,41,465,82100,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,hustle gang,hip hop,2017,-1
42,42,472,31997,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,john michael montgomery,country,1996,-1
43,43,472,56597,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,cymande,jazz,1972,-1
44,44,472,76110,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,michael w. smith,rock,1993,-1
45,45,472,82100,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,hustle gang,hip hop,2017,-1
46,46,478,31997,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,john michael montgomery,country,1996,-1
47,47,478,56597,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,cymande,jazz,1972,-1
48,48,478,76110,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,michael w. smith,rock,1993,-1
49,49,478,82100,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,hustle gang,hip hop,2017,-1
50,50,533,31997,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,john michael montgomery,country,1996,-1
51,51,533,56597,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,cymande,jazz,1972,-1
52,52,533,76110,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,michael w. smith,rock,1993,-1
53,53,533,82100,friends,ed sheeran,"pop , music , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2014,friends,hustle gang,hip hop,2017,-1
54,54,486,59244,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,souls of mischief,jazz,1993,-1
55,55,486,81543,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,goin' through,hip hop,2012,-1
56,56,490,59244,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,souls of mischief,jazz,1993,-1
57,57,490,81543,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,goin' through,hip hop,2012,-1
58,58,528,59244,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,souls of mischief,jazz,1993,-1
59,59,528,81543,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,goin' through,hip hop,2012,-1
60,60,577,59244,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,souls of mischief,jazz,1993,-1
61,61,577,81543,outro,ed sheeran & yelawolf,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,outro,goin' through,hip hop,2012,-1
62,62,489,76673,sunburn,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,sunburn,fuel,rock,1997,-1
63,63,512,76673,sunburn,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,sunburn,fuel,rock,1997,-1
64,64,513,76673,sunburn,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,sunburn,fuel,rock,1997,-1
65,65,550,76673,sunburn,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,sunburn,fuel,rock,1997,-1
66,66,570,76673,sunburn,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,sunburn,fuel,rock,1997,-1
67,67,511,10189,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,edie brickell & new bohemians,pop,1988,-1
68,68,511,12177,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,green day,pop,1994,-1
69,69,511,74723,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,misfits,rock,1986,-1
70,70,511,79058,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,elvis costello,rock,2012,-1
71,71,525,10189,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,edie brickell & new bohemians,pop,1988,-1
72,72,525,12177,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,green day,pop,1994,-1
73,73,525,74723,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,misfits,rock,1986,-1
74,74,525,79058,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,elvis costello,rock,2012,-1
75,75,526,10189,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,edie brickell & new bohemians,pop,1988,-1
76,76,526,12177,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,green day,pop,1994,-1
77,77,526,74723,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,misfits,rock,1986,-1
78,78,526,79058,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,elvis costello,rock,2012,-1
79,79,566,10189,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,edie brickell & new bohemians,pop,1988,-1
80,80,566,12177,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,green day,pop,1994,-1
81,81,566,74723,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,misfits,rock,1986,-1
82,82,566,79058,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,elvis costello,rock,2012,-1
83,83,567,10189,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,edie brickell & new bohemians,pop,1988,-1
84,84,567,12177,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,green day,pop,1994,-1
85,85,567,74723,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,misfits,rock,1986,-1
86,86,567,79058,she,ed sheeran,"singer/songwriter , music , rock , adult alternative , contemporary singer/songwriter",2011,she,elvis costello,rock,2012,-1
87,87,599,77810,hang on,chris janson,"country , music",2014,hang on,seether,rock,2004,-1
88,88,659,74222,every breath you take,copeland,"rock , music",2004,every breath you take,the police,rock,1983,-1
89,89,736,18817,uma thurman,fall out boy,"alternative , music , rock",2015,uma thurman,fall out boy,pop,2015,-1
90,90,744,44055,heartbreaker,justin bieber,"pop , music , rock",2013,heartbreaker,grand funk railroad,blues,1975,-1
91,91,744,51907,heartbreaker,justin bieber,"pop , music , rock",2013,heartbreaker,joe bonamassa,blues,2011,-1
92,92,744,61828,heartbreaker,justin bieber,"pop , music , rock",2013,heartbreaker,crazy p,jazz,2011,-1
93,93,744,64604,heartbreaker,justin bieber,"pop , music , rock",2013,heartbreaker,mighty diamonds,reggae,1985,-1
94,94,744,65567,heartbreaker,justin bieber,"pop , music , rock",2013,heartbreaker,musical youth,reggae,1994,-1
95,95,744,73888,heartbreaker,justin bieber,"pop , music , rock",2013,heartbreaker,dionne warwick,rock,1982,-1
96,96,759,57885,hold tight,justin bieber,"pop , music , rock",2013,hold tight,change,jazz,1981,-1
97,97,763,37403,roller coaster,justin bieber,"pop , music , rock",2013,roller coaster,luke bryan,country,2013,-1
98,98,830,18684,right hand,drake,"hip-hop/rap , music",2015,right hand,drake,pop,2015,-1
99,99,927,18684,right hand,drake,"hip-hop/rap , music",2015,right hand,drake,pop,2015,-1
100,100,843,18941,back to back,drake,"hip-hop/rap , music",2015,back to back,drake,pop,2015,-1
101,101,843,29533,back to back,drake,"hip-hop/rap , music",2015,back to back,the replacements,country,1989,-1
102,102,843,30867,back to back,drake,"hip-hop/rap , music",2015,back to back,tracy lawrence,country,1993,-1
103,103,924,18941,back to back,drake,"hip-hop/rap , music",2015,back to back,drake,pop,2015,-1
104,104,924,29533,back to back,drake,"hip-hop/rap , music",2015,back to back,the replacements,country,1989,-1
105,105,924,30867,back to back,drake,"hip-hop/rap , music",2015,back to back,tracy lawrence,country,1993,-1
106,106,844,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
107,107,844,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
108,108,845,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
109,109,845,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
110,110,847,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
111,111,847,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
112,112,851,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
113,113,851,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
114,114,861,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
115,115,861,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
116,116,862,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
117,117,862,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
118,118,863,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
119,119,863,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
120,120,871,11701,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,sarah mclachlan,pop,1993,-1
121,121,871,79745,fear,drake,"hip-hop/rap , music , pop , r&b / soul , contemporary r&b , hardcore rap , dirty south",2008,fear,ben rector,rock,2015,-1
122,122,882,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
123,123,882,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
124,124,903,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
125,125,903,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
126,126,904,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
127,127,904,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
128,128,905,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
129,129,905,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
130,130,906,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
131,131,906,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
132,132,907,11701,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,sarah mclachlan,pop,1993,-1
133,133,907,79745,fear,drake,"hip-hop/rap , music , r&b / soul , contemporary r&b , hardcore rap , dirty south",2009,fear,ben rector,rock,2015,-1
134,134,899,10917,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,en vogue,pop,1990,-1
135,135,899,16080,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,jonas brothers,pop,2007,-1
136,136,899,16677,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,michael bublé,pop,2009,-1
137,137,899,26272,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,rosanne cash,country,1979,-1
138,138,899,46011,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,santana,blues,1983,-1
139,139,899,46630,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,eric clapton,blues,1986,-1
140,140,899,66157,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,beres hammond,reggae,1998,-1
141,141,899,67684,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,half pint,reggae,2007,-1
142,142,899,69154,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,kbong,reggae,2014,-1
143,143,899,69989,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,the elovaters,reggae,2018,-1
144,144,899,72937,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,ian gomm,rock,1978,-1
145,145,899,76100,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,pearl jam,rock,1993,-1
146,146,899,77112,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,tom waits,rock,1999,-1
147,147,899,77172,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,limp bizkit,rock,2000,-1
148,148,899,78236,hold on,mandy musgrave,"pop , music , soundtrack , tv soundtrack",2006,hold on,korn,rock,2007,-1
149,149,5380,10917,hold on,alabama shakes,"pop , music",2013,hold on,en vogue,pop,1990,-1
150,150,5380,16080,hold on,alabama shakes,"pop , music",2013,hold on,jonas brothers,pop,2007,-1
151,151,5380,16677,hold on,alabama shakes,"pop , music",2013,hold on,michael bublé,pop,2009,-1
152,152,5380,26272,hold on,alabama shakes,"pop , music",2013,hold on,rosanne cash,country,1979,-1
153,153,5380,46011,hold on,alabama shakes,"pop , music",2013,hold on,santana,blues,1983,-1
154,154,5380,46630,hold on,alabama shakes,"pop , music",2013,hold on,eric clapton,blues,1986,-1
155,155,5380,66157,hold on,alabama shakes,"pop , music",2013,hold on,beres hammond,reggae,1998,-1
156,156,5380,67684,hold on,alabama shakes,"pop , music",2013,hold on,half pint,reggae,2007,-1
157,157,5380,69154,hold on,alabama shakes,"pop , music",2013,hold on,kbong,reggae,2014,-1
158,158,5380,69989,hold on,alabama shakes,"pop , music",2013,hold on,the elovaters,reggae,2018,-1
159,159,5380,72937,hold on,alabama shakes,"pop , music",2013,hold on,ian gomm,rock,1978,-1
160,160,5380,76100,hold on,alabama shakes,"pop , music",2013,hold on,pearl jam,rock,1993,-1
161,161,5380,77112,hold on,alabama shakes,"pop , music",2013,hold on,tom waits,rock,1999,-1
162,162,5380,77172,hold on,alabama shakes,"pop , music",2013,hold on,limp bizkit,rock,2000,-1
163,163,5380,78236,hold on,alabama shakes,"pop , music",2013,hold on,korn,rock,2007,-1
164,164,6558,10917,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,en vogue,pop,1990,-1
165,165,6558,16080,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,jonas brothers,pop,2007,-1
166,166,6558,16677,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,michael bublé,pop,2009,-1
167,167,6558,26272,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,rosanne cash,country,1979,-1
168,168,6558,46011,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,santana,blues,1983,-1
169,169,6558,46630,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,eric clapton,blues,1986,-1
170,170,6558,66157,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,beres hammond,reggae,1998,-1
171,171,6558,67684,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,half pint,reggae,2007,-1
172,172,6558,69154,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,kbong,reggae,2014,-1
173,173,6558,69989,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,the elovaters,reggae,2018,-1
174,174,6558,72937,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,ian gomm,rock,1978,-1
175,175,6558,76100,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,pearl jam,rock,1993,-1
176,176,6558,77112,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,tom waits,rock,1999,-1
177,177,6558,77172,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,limp bizkit,rock,2000,-1
178,178,6558,78236,hold on,ben kweller & selena gomez,"soundtrack , music , soundtrack",2014,hold on,korn,rock,2007,-1
179,179,942,670,superman,taylor swift,"country , music , honky tonk",2011,superman,the brothers four,pop,1959,-1
180,180,942,17057,superman,taylor swift,"country , music , honky tonk",2011,superman,taylor swift,pop,2010,-1
181,181,950,1707,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,andy williams,pop,1963,-1
182,182,950,49801,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,ella fitzgerald,blues,2002,-1
183,183,950,54626,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,bing crosby,jazz,1954,-1
184,184,950,55203,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,dean martin,jazz,1959,-1
185,185,995,1707,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,andy williams,pop,1963,-1
186,186,995,49801,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,ella fitzgerald,blues,2002,-1
187,187,995,54626,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,bing crosby,jazz,1954,-1
188,188,995,55203,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,dean martin,jazz,1959,-1
189,189,996,1707,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,andy williams,pop,1963,-1
190,190,996,49801,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,ella fitzgerald,blues,2002,-1
191,191,996,54626,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,bing crosby,jazz,1954,-1
192,192,996,55203,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,dean martin,jazz,1959,-1
193,193,997,1707,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,andy williams,pop,1963,-1
194,194,997,49801,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,ella fitzgerald,blues,2002,-1
195,195,997,54626,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,bing crosby,jazz,1954,-1
196,196,997,55203,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,dean martin,jazz,1959,-1
197,197,998,1707,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,andy williams,pop,1963,-1
198,198,998,49801,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,ella fitzgerald,blues,2002,-1
199,199,998,54626,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,bing crosby,jazz,1954,-1
200,200,998,55203,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,dean martin,jazz,1959,-1
201,201,999,1707,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,andy williams,pop,1963,-1
202,202,999,49801,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,ella fitzgerald,blues,2002,-1
203,203,999,54626,white christmas,taylor swift,"holiday , music , country , honky tonk , christmas",2007,white christmas,bing crosby,jazz,1954,-1
